state,puma2k,puma12,stab,PUMAname,PUMA2kName,pop10,afact,AFACT2
6,4200,7110,CA,San Bernardino County (Southwest)--Fontana City (East),604200,80273,0.457,0.756
6,4200,7115,CA,San Bernardino County (Southwest)--Fontana City (West),604200,86039,0.489,0.733
6,4300,7104,CA,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",604300,11393,0.055,0.103
6,4300,7106,CA,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",604300,3563,0.017,0.035
6,4300,7107,CA,San Bernardino County (Southwest)--San Bernardino City (East),604300,37961,0.184,0.357
6,4300,7108,CA,San Bernardino County (Southwest)--San Bernardino City (West),604300,153447,0.742,0.906
6,4300,7109,CA,San Bernardino County (Southwest)--Rialto City,604300,371,0.002,0.003
6,4401,7112,CA,San Bernardino County (Southwest)--Upland & Montclair Cities,604401,5854,0.036,0.048
6,4401,7113,CA,San Bernardino County (Southwest)--Ontario City,604401,5241,0.032,0.031
6,4401,7114,CA,San Bernardino County (Southwest)--Chino & Chino Hills Cities,604401,153339,0.933,0.988
6,4402,7111,CA,San Bernardino County (Southwest)--Rancho Cucamonga City,604402,43,0,0
6,4402,7112,CA,San Bernardino County (Southwest)--Upland & Montclair Cities,604402,115115,1,0.951
6,4403,7106,CA,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",604403,76042,0.337,0.741
6,4403,7108,CA,San Bernardino County (Southwest)--San Bernardino City (West),604403,1224,0.005,0.007
6,4403,7109,CA,San Bernardino County (Southwest)--Rialto City,604403,93244,0.414,0.86
6,4403,7110,CA,San Bernardino County (Southwest)--Fontana City (East),604403,25859,0.115,0.244
6,4403,7115,CA,San Bernardino County (Southwest)--Fontana City (West),604403,28960,0.129,0.247
6,4404,7105,CA,San Bernardino County (Southwest)--Redlands & Yucaipa Cities,604404,137401,0.625,1
6,4404,7106,CA,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",604404,23056,0.105,0.225
6,4404,7107,CA,San Bernardino County (Southwest)--San Bernardino City (East),604404,59247,0.27,0.557
